offset,day,method,hold,cost,tickers,exposure,return_pct
0,2016-09-29,momentum,1,0.2,AMD NVDA AMAT DHR ALB,0.5,0.788017493840476
0,2016-10-28,momentum,1,0.2,AMD NVDA AMAT DHR ALB,0.5,0.1692989019510982
0,2016-11-29,momentum,1,0.2,AMD NVDA DHR GEN ALB,0.5,-0.3572940535789937
0,2016-12-29,momentum,1,0.2,AMD NVDA FCX CGNX DHR,0.5,-1.28994295044913
0,2017-01-31,momentum,1,0.2,AMD NVDA FCX URI CGNX,0.5,1.5682485228473597
0,2017-03-02,momentum,1,0.2,AMD NVDA URI MU DHR,0.5,-0.3545498383751622
0,2017-03-31,momentum,1,0.2,AMD NVDA MU URI CGNX,0.5,-0.5211619910536203
0,2017-05-02,momentum,1,0.2,AMD NVDA MU CGNX ANET,0.5,0.1516268049671421
0,2017-06-01,momentum,1,0.2,AMD NVDA MU CGNX XYZ,0.5,-0.012257737433019056
0,2017-06-30,momentum,1,0.2,NVDA XYZ ANET MU CGNX,0.5,-1.4579712609704476
0,2017-08-01,momentum,1,0.2,NVDA XYZ MU ANET CGNX,0.5,-1.3440363440597958
0,2017-08-30,momentum,1,0.2,NVDA XYZ CGNX NFLX ANET,0.5,0.018367956312692613
0,2017-09-29,momentum,1,0.2,NVDA STLA XYZ ANET CGNX,0.5,0.26130871631002694
0,2017-10-30,momentum,1,0.2,XYZ NVDA STLA MU ANET,0.5,1.054954724032342
0,2017-11-29,momentum,1,0.2,XYZ SEDG STLA SQM NVDA,0.5,0.4096558791503835
0,2017-12-29,momentum,1,0.2,SEDG XYZ ANET CGNX NVR,0.5,0.5976145818548773
0,2018-01-31,momentum,1,0.2,SEDG ANET XYZ FSLR SQM,0.5,-0.3849122584521636
0,2018-03-02,momentum,1,0.2,XYZ NVDA SEDG ANET STLA,0.5,1.6780402625981905
0,2018-04-03,momentum,1,0.2,SEDG XYZ FSLR CRSP NVDA,0.5,2.2586190577152943
0,2018-05-02,momentum,1,0.2,SEDG CRSP XYZ FSLR NVDA,0.5,0.32389383403508276
0,2018-06-01,momentum,1,0.2,CRSP SEDG XYZ STLA NFLX,0.5,0.13899530420886652
